movement_id,date,origin_city,origin_state,origin_zip,destination_city,destination_state,destination_zip,total_rate,carrier_name,carrier_id,customer_name,customer_id,miles,origin_lat,origin_lng,destination_lat,destination_lng,bearing_degree,RPM,cardinal_direction,lat_diff,lng_diff,route_center_lat,route_center_lng,distance_log,distance_squared,distance_sqrt,rate_per_mile,rate_per_mile_log,total_revenue,month,day_of_week,quarter,is_weekend,season,distance_category,customer_encoded,carrier_encoded,route_frequency,rate_efficiency,geographic_complexity,bearing_sin,bearing_cos
168171,2025-04-10,LONG BEACH,CA,90802,PHOENIX,AZ,85034,1825.0,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,356.8702195959628,33.745762,-118.208042,33.429662,-112.014156,91.78786287471286,5.113903878183524,E,0.3160999999999987,6.193886000000006,33.587711999999996,-115.111099,5.880170405581143,127356.35363447071,18.89100896183057,5.113903878183524,1.8105655017525686,1825.0,4,3,2,0,Spring,Ultra_Long,0,12,7,5.113903878183524,6.509986000000005,0.9995131917691683,-0.03119903010367288
168184,2025-04-14,LONG BEACH,CA,90802,PHOENIX,AZ,85019,1825.0,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,348.9121153359431,33.745762,-118.208042,33.508109,-112.14492,91.01270616273257,5.230543508765337,E,0.23765300000000167,6.063122000000007,33.6269355,-115.176481,5.857682023912655,121739.66422820245,18.679189365064616,5.230543508765337,1.8294635695664097,1825.0,4,0,2,0,Spring,Ultra_Long,0,12,2,5.230543508765337,6.300775000000009,0.9998438002484438,-0.01767413660550539
184001,2025-06-16,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.0,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,89.6664032985125,33.745762,-118.208042,32.806775,-117.134943,136.00977698639008,8.921959291003159,SE,0.9389869999999974,1.0730989999999991,33.2762685,-117.6714925,4.507186872827851,8040.063880491494,9.469234567720482,8.921959291003159,2.294750410968118,800.0,6,0,2,0,Summer,Long,0,12,10,8.921959291003159,2.0120859999999965,0.6945356117683864,-0.7194583267886426
184002,2025-06-18,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.0,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,89.6664032985125,33.745762,-118.208042,32.806775,-117.134943,136.00977698639008,8.921959291003159,SE,0.9389869999999974,1.0730989999999991,33.2762685,-117.6714925,4.507186872827851,8040.063880491494,9.469234567720482,8.921959291003159,2.294750410968118,800.0,6,2,2,0,Summer,Long,0,12,10,8.921959291003159,2.0120859999999965,0.6945356117683864,-0.7194583267886426
187700,2025-07-03,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.0,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,89.6664032985125,33.745762,-118.208042,32.806775,-117.134943,136.00977698639008,8.921959291003159,SE,0.9389869999999974,1.0730989999999991,33.2762685,-117.6714925,4.507186872827851,8040.063880491494,9.469234567720482,8.921959291003159,2.294750410968118,800.0,7,3,3,0,Summer,Long,0,12,10,8.921959291003159,2.0120859999999965,0.6945356117683864,-0.7194583267886426
188581,2025-07-14,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.0,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,89.6664032985125,33.745762,-118.208042,32.806775,-117.134943,136.00977698639008,8.921959291003159,SE,0.9389869999999974,1.0730989999999991,33.2762685,-117.6714925,4.507186872827851,8040.063880491494,9.469234567720482,8.921959291003159,2.294750410968118,800.0,7,0,3,0,Summer,Long,0,12,10,8.921959291003159,2.0120859999999965,0.6945356117683864,-0.7194583267886426
190464,2025-07-10,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.0,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,89.6664032985125,33.745762,-118.208042,32.806775,-117.134943,136.00977698639008,8.921959291003159,SE,0.9389869999999974,1.0730989999999991,33.2762685,-117.6714925,4.507186872827851,8040.063880491494,9.469234567720482,8.921959291003159,2.294750410968118,800.0,7,3,3,0,Summer,Long,0,12,10,8.921959291003159,2.0120859999999965,0.6945356117683864,-0.7194583267886426
190465,2025-07-09,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.0,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,89.6664032985125,33.745762,-118.208042,32.806775,-117.134943,136.00977698639008,8.921959291003159,SE,0.9389869999999974,1.0730989999999991,33.2762685,-117.6714925,4.507186872827851,8040.063880491494,9.469234567720482,8.921959291003159,2.294750410968118,800.0,7,2,3,0,Summer,Long,0,12,10,8.921959291003159,2.0120859999999965,0.6945356117683864,-0.7194583267886426
191057,2025-07-11,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.0,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,89.6664032985125,33.745762,-118.208042,32.806775,-117.134943,136.00977698639008,8.921959291003159,SE,0.9389869999999974,1.0730989999999991,33.2762685,-117.6714925,4.507186872827851,8040.063880491494,9.469234567720482,8.921959291003159,2.294750410968118,800.0,7,4,3,0,Summer,Long,0,12,10,8.921959291003159,2.0120859999999965,0.6945356117683864,-0.7194583267886426
191060,2025-07-17,LONG BEACH,CA,90802,SAN DIEGO,CA,92123,800.0,ZURICH TRANSPORT LLC,ZURISYCA,"AMERICAN PACIFIC INDUSTRIES, INC.",AMERSCAZ,89.6664032985125,33.745762,-118.208042,32.806775,-117.134943,136.00977698639008,8.921959291003159,SE,0.9389869999999974,1.0730989999999991,33.2762685,-117.6714925,4.507186872827851,8040.063880491494,9.469234567720482,8.921959291003159,2.294750410968118,800.0,7,3,3,0,Summer,Long,0,12,10,8.921959291003159,2.0120859999999965,0.6945356117683864,-0.7194583267886426
